"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ALCOHOL","TOT","LT_CAP15","A","2013",9.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2014",9.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2015",9.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2013",11.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2014",12.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2015",11.4,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2013",10.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2014",10.6,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2015",10.4,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2013",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2014",8,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2015",8.1,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2016",8.2,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2013",11.5,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2014",11.9,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2015",11.5,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2016",11.7,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2013",9.4,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2014",9.5,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2015",9.3,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2016",9.4,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2013",9.1,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2014",8.8,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2015",8.5,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2016",8.4,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2013",11.6,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2014",12,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2015",11.9,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2016",11.7,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2013",11.7,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2014",11.6,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2015",12,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2016",10.9,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2013",7.5,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2014",7,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2015",6.6,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2016",6.5,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2013",10.6,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2014",10.9,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2015",10.8,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2013",6.8,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2014",7,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2015",7.7,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2016",7.5,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2017",7.7,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2013",10.6,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2014",10.8,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2015",10.7,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2016",11.2,"E"
"ITA","ALCOHOL","TOT","LT_CAP15","A","2013",7.4,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2014",7.6,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2015",7.1,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2016",7.1,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2013",7.4,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2014",7.1,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2015",7.2,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2016",7.2,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2013",8.7,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2014",8.9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2015",9.1,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2016",8.7,
"LUX","ALCOHOL","TOT","LT_CAP15","A","2013",11.7,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2014",11.8,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2015",11.9,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2016",11.3,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2013",3.9,
"MEX","ALCOHOL","TOT","LT_CAP15","A","2014",4,
"MEX","ALCOHOL","TOT","LT_CAP15","A","2015",4.4,
"MEX","ALCOHOL","TOT","LT_CAP15","A","2016",4.4,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2013",8.7,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2014",8,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2015",8,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2016",8.3,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2013",9.2,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2014",9.1,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2015",8.7,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2016",8.9,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2017",8.8,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2013",6.2,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2014",6.1,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2015",6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2016",6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2017",6,
"POL","ALCOHOL","TOT","LT_CAP15","A","2013",10.8,
"POL","ALCOHOL","TOT","LT_CAP15","A","2014",10.5,
"POL","ALCOHOL","TOT","LT_CAP15","A","2015",10.5,
"POL","ALCOHOL","TOT","LT_CAP15","A","2016",10.4,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2013",10.5,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2014",10.4,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2015",10.5,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2016",10.7,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2013",9.9,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2014",10.1,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2015",10.2,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2016",9.9,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2013",8.8,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2014",8.7,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2015",8.3,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2016",8.6,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2013",7.3,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2014",7.2,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2015",7.2,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2016",7.2,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2013",9.9,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2014",9.5,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2015",9.5,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2016",9.3,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2013",1.4,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2014",1.5,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2015",1.4,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2016",1.3,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2017",1.3,"P"
"GBR","ALCOHOL","TOT","LT_CAP15","A","2013",9.4,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2014",9.4,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2015",9.5,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2016",9.5,
"USA","ALCOHOL","TOT","LT_CAP15","A","2013",8.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","2014",8.8,
"USA","ALCOHOL","TOT","LT_CAP15","A","2015",8.8,
"BRA","ALCOHOL","TOT","LT_CAP15","A","2013",7.1,
"BRA","ALCOHOL","TOT","LT_CAP15","A","2014",7.2,
"BRA","ALCOHOL","TOT","LT_CAP15","A","2015",7,
"BRA","ALCOHOL","TOT","LT_CAP15","A","2016",6.3,
"CHL","ALCOHOL","TOT","LT_CAP15","A","2013",7.2,
"CHL","ALCOHOL","TOT","LT_CAP15","A","2014",7.9,
"CHL","ALCOHOL","TOT","LT_CAP15","A","2015",7.9,
"CHL","ALCOHOL","TOT","LT_CAP15","A","2016",7.9,"E"
"CHN","ALCOHOL","TOT","LT_CAP15","A","2013",5.8,
"CHN","ALCOHOL","TOT","LT_CAP15","A","2014",5.8,
"CHN","ALCOHOL","TOT","LT_CAP15","A","2015",5.7,
"CHN","ALCOHOL","TOT","LT_CAP15","A","2016",5.7,
"EST","ALCOHOL","TOT","LT_CAP15","A","2013",11.9,
"EST","ALCOHOL","TOT","LT_CAP15","A","2014",11.1,
"EST","ALCOHOL","TOT","LT_CAP15","A","2015",10.6,
"EST","ALCOHOL","TOT","LT_CAP15","A","2016",9.9,
"IND","ALCOHOL","TOT","LT_CAP15","A","2013",3.1,
"IND","ALCOHOL","TOT","LT_CAP15","A","2014",3,
"IND","ALCOHOL","TOT","LT_CAP15","A","2015",3,
"IND","ALCOHOL","TOT","LT_CAP15","A","2016",3,
"IDN","ALCOHOL","TOT","LT_CAP15","A","2013",0.3,
"IDN","ALCOHOL","TOT","LT_CAP15","A","2014",0.3,
"IDN","ALCOHOL","TOT","LT_CAP15","A","2015",0.3,
"IDN","ALCOHOL","TOT","LT_CAP15","A","2016",0.3,
"ISR","ALCOHOL","TOT","LT_CAP15","A","2013",2.9,
"ISR","ALCOHOL","TOT","LT_CAP15","A","2014",2.7,
"ISR","ALCOHOL","TOT","LT_CAP15","A","2015",2.6,
"ISR","ALCOHOL","TOT","LT_CAP15","A","2016",2.6,
"RUS","ALCOHOL","TOT","LT_CAP15","A","2013",11.6,
"RUS","ALCOHOL","TOT","LT_CAP15","A","2014",11.1,"B"
"RUS","ALCOHOL","TOT","LT_CAP15","A","2015",10.5,
"RUS","ALCOHOL","TOT","LT_CAP15","A","2016",10.3,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2013",9.5,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2014",10.9,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2015",11.5,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2016",10.5,
"ZAF","ALCOHOL","TOT","LT_CAP15","A","2013",7.2,
"ZAF","ALCOHOL","TOT","LT_CAP15","A","2014",7.2,
"ZAF","ALCOHOL","TOT","LT_CAP15","A","2015",7.1,
"ZAF","ALCOHOL","TOT","LT_CAP15","A","2016",7.1,
"COL","ALCOHOL","TOT","LT_CAP15","A","2013",4.3,
"COL","ALCOHOL","TOT","LT_CAP15","A","2014",4.3,
"COL","ALCOHOL","TOT","LT_CAP15","A","2015",4.4,
"COL","ALCOHOL","TOT","LT_CAP15","A","2016",4.5,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2013",10.4,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2014",10.6,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2015",10.8,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2016",11.2,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2013",14.5,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2014",14.2,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2015",14,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2016",13.2,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2013",3.5,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2014",3.6,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2015",3.6,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2016",3.7,
